epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9807,3.25018,1.95905,2.46818,0.34597,0.48116,0.2662,0.07692,2.77209,1.75505,1.63501,0.000655556,0.000655556,0.000655556
2,56.5723,2.42053,1.56407,1.52175,0.19227,0.58511,0.19706,0.07738,2.14742,1.80787,1.26558,0.00131568,0.00131568,0.00131568
3,79.4056,2.25842,1.5599,1.44224,0.39863,0.55319,0.37593,0.12725,2.0408,1.61865,1.30707,0.0019692,0.0019692,0.0019692
4,101.642,2.16959,1.52851,1.38258,0.44282,0.57979,0.40767,0.17684,1.87885,1.53619,1.27763,0.0019703,0.0019703,0.0019703
5,124.253,2.10215,1.57111,1.34639,0.38342,0.67553,0.37021,0.13585,1.9557,1.49199,1.32854,0.0019604,0.0019604,0.0019604
6,145.835,2.08566,1.509,1.34992,0.44224,0.64894,0.4501,0.19138,1.73529,1.43587,1.22375,0.0019505,0.0019505,0.0019505
7,165.57,2.05996,1.56952,1.34028,0.40781,0.60106,0.43798,0.17219,1.7583,1.47669,1.20969,0.0019406,0.0019406,0.0019406
8,185.399,2.03035,1.52715,1.31118,0.51365,0.62766,0.52338,0.21862,1.71261,1.42728,1.19974,0.0019307,0.0019307,0.0019307
9,205.819,2.02674,1.5399,1.31771,0.33096,0.45213,0.29829,0.11045,2.00487,1.73212,1.33591,0.0019208,0.0019208,0.0019208
10,227.677,2.00432,1.53499,1.30888,0.48258,0.57447,0.44797,0.17685,1.74067,1.54275,1.18553,0.0019109,0.0019109,0.0019109
11,251.019,1.97513,1.49507,1.28891,0.47684,0.58511,0.45556,0.21307,1.71812,1.40466,1.22215,0.001901,0.001901,0.001901
12,271.967,1.99661,1.51929,1.29741,0.39791,0.50532,0.37245,0.1654,1.75021,1.65061,1.21686,0.0018911,0.0018911,0.0018911
