epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2423,3.26651,3.99581,2.03463,0.00689,0.65957,0.0221,0.00561,2.34269,3.6424,1.50532,0.000655556,0.000655556,0.000655556
2,44.6676,2.38366,2.27975,1.51939,0.09493,0.42021,0.07443,0.03134,2.30901,5.88109,1.47581,0.00131568,0.00131568,0.00131568
3,64.8047,2.25886,2.01992,1.46963,0.11419,0.09574,0.03662,0.00767,3.35925,3.0384,2.23085,0.0019692,0.0019692,0.0019692
4,84.5147,2.17045,1.85136,1.4415,0.12893,0.29255,0.08673,0.02748,2.47734,2.36281,1.55313,0.0019703,0.0019703,0.0019703
5,103.659,2.12342,1.74288,1.40352,0.31534,0.53723,0.30654,0.11823,1.91863,1.74957,1.34056,0.0019604,0.0019604,0.0019604
6,122.333,2.11057,1.70301,1.38759,0.43604,0.58511,0.45798,0.1795,1.8425,1.61372,1.30383,0.0019505,0.0019505,0.0019505
7,141.612,2.09556,1.69587,1.40655,0.44759,0.68085,0.43681,0.17564,1.73008,1.50784,1.25034,0.0019406,0.0019406,0.0019406
8,160.53,2.07915,1.64994,1.38211,0.38161,0.60106,0.43785,0.16855,1.81151,1.58117,1.25594,0.0019307,0.0019307,0.0019307
9,179.269,2.03486,1.64508,1.35671,0.37962,0.54255,0.41339,0.17809,1.7653,1.4852,1.25074,0.0019208,0.0019208,0.0019208
10,197.899,2.0238,1.63717,1.34898,0.37919,0.61702,0.4057,0.16725,1.75552,1.52756,1.25626,0.0019109,0.0019109,0.0019109
11,217.272,2.0277,1.56746,1.34932,0.47164,0.6383,0.52683,0.21886,1.708,1.42645,1.24367,0.001901,0.001901,0.001901
12,237.183,2.00121,1.59975,1.35143,0.38914,0.40957,0.33562,0.14846,1.84137,1.85974,1.32399,0.0018911,0.0018911,0.0018911
