epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6433,3.48477,3.58396,2.44428,0.00242,0.01379,0.00123,0.0002,1.97917,3.58458,1.7311,0.00018,0.00018,0.00018
2,15.4633,1.73035,2.25851,1.28406,0.13182,0.75,0.2811,0.07444,1.9099,2.93371,1.46003,0.000378119,0.000378119,0.000378119
3,19.9485,1.44565,1.25018,1.09979,0.61942,0.65102,0.66876,0.28388,2.10444,1.94004,1.58358,0.000574258,0.000574258,0.000574258
4,25.3513,1.27188,0.97442,1.05062,0.75824,0.7069,0.79428,0.41631,1.82648,1.46059,1.40198,0.000768417,0.000768417,0.000768417
5,28.7935,1.17954,0.85611,1.02762,0.92783,0.67069,0.81856,0.53685,1.52294,1.23884,1.24593,0.000960596,0.000960596,0.000960596
6,32.1945,1.23028,0.86573,1.04962,0.85058,0.83428,0.86409,0.41106,1.8402,1.11262,1.36444,0.0011508,0.0011508,0.0011508
7,36.062,1.13744,0.81769,1.02975,0.9032,0.8,0.88834,0.45483,1.81536,1.08896,1.30899,0.00133901,0.00133901,0.00133901
8,41.3341,1.08264,0.79805,0.99045,0.89053,0.82751,0.9133,0.45677,1.68902,1.29512,1.26218,0.00152525,0.00152525,0.00152525
9,45.6081,1.07008,0.79024,1.0094,0.68943,0.76897,0.80854,0.44056,1.58322,1.52995,1.33257,0.00170951,0.00170951,0.00170951
10,48.8398,1.07965,0.79624,1.01125,0.70169,0.78274,0.72761,0.36212,1.74691,1.28635,1.45866,0.00189179,0.00189179,0.00189179
11,52.554,1.01327,0.78083,0.98494,0.67421,0.78793,0.67639,0.32638,1.56079,1.28686,1.21567,0.001901,0.001901,0.001901
12,57.9289,0.97559,0.75953,0.97844,0.81221,0.79792,0.83632,0.46544,1.48016,1.2041,1.25031,0.0018911,0.0018911,0.0018911
13,64.2495,0.91728,0.69946,0.9441,0.65872,0.6931,0.73235,0.44243,1.44423,1.24463,1.13278,0.0018812,0.0018812,0.0018812
14,68.6451,0.9999,0.6961,0.95392,0.87523,0.83966,0.90418,0.56074,1.2951,1.08739,1.05702,0.0018713,0.0018713,0.0018713
15,72.0179,0.98111,0.72448,0.97036,0.82407,0.87069,0.84979,0.46369,1.6217,1.21798,1.17838,0.0018614,0.0018614,0.0018614
16,75.5352,0.94072,0.70295,0.9506,0.89436,0.81745,0.89601,0.55576,1.32897,1.04659,1.18327,0.0018515,0.0018515,0.0018515
17,80.3255,0.86086,0.65029,0.92886,0.89591,0.84828,0.94737,0.54771,1.23933,0.99804,1.03154,0.0018416,0.0018416,0.0018416
